Speaker,Sex,Location,Distance,pcm_RMSenergy_sma,pcm_fftMag_mfcc_sma[1],pcm_fftMag_mfcc_sma[2],pcm_fftMag_mfcc_sma[3],pcm_fftMag_mfcc_sma[4],pcm_fftMag_mfcc_sma[5],pcm_fftMag_mfcc_sma[6],pcm_fftMag_mfcc_sma[7],pcm_fftMag_mfcc_sma[8],pcm_fftMag_mfcc_sma[9],pcm_fftMag_mfcc_sma[10],pcm_fftMag_mfcc_sma[11],pcm_fftMag_mfcc_sma[12],pcm_zcr_sma,voiceProb_sma,F0_sma,pcm_RMSenergy_sma_de,pcm_fftMag_mfcc_sma_de[1],pcm_fftMag_mfcc_sma_de[2],pcm_fftMag_mfcc_sma_de[3],pcm_fftMag_mfcc_sma_de[4],pcm_fftMag_mfcc_sma_de[5],pcm_fftMag_mfcc_sma_de[6],pcm_fftMag_mfcc_sma_de[7],pcm_fftMag_mfcc_sma_de[8],pcm_fftMag_mfcc_sma_de[9],pcm_fftMag_mfcc_sma_de[10],pcm_fftMag_mfcc_sma_de[11],pcm_fftMag_mfcc_sma_de[12],pcm_zcr_sma_de,voiceProb_sma_de,F0_sma_de
001,F,Imperial,50,0.0019565011203274,-8.308631592075054,4.322583362822039,4.171877167985564,-1.1107512120404244,-2.6506580274148264,-5.272956629778626,-2.5663875668373426,-4.761412853407124,-14.057051072184796,-1.88228889059384,-3.5429456177541856,-3.4489716092785403,0.0936646971619654,0.4295570225409048,176.84707215686277,-7.183844677136083e-13,-1.0790987611305458e-09,-5.3413231225595795e-09,-2.707094921882757e-09,3.664908922388303e-09,-5.389069980911904e-09,6.021092985016115e-10,1.5605944390103492e-08,-1.945349965207927e-09,7.138063293135155e-09,2.023969307553172e-09,-3.4596356391475543e-09,-1.1033557047362741e-08,2.263252057060589e-11,1.1461649003575184e-10,-3.531919645876387e-07
001,F,Imperial,200,0.0008884013403518,-8.972605994776693,1.627685533902914,2.9266556707126163,-4.152086658396507,-7.859649437722336,-4.475503723585433,-5.673427001077676,-2.6429422598058245,-13.533241115485444,-1.5917803963009671,-4.13137609030098,-5.362326926231067,0.1150390533985442,0.383923710284231,172.91901145228206,9.208046376108304e-13,5.733075747965527e-10,4.502804641667218e-09,7.573307528995526e-09,-4.471421656468373e-09,-6.609284337416974e-09,-1.770116040123191e-09,1.0462282350725176e-09,-1.5390715679577482e-08,7.165377133328417e-09,-1.674081238506223e-09,-6.698259180882041e-09,-5.2620889561245715e-09,5.629541488744708e-11,-1.258525332026657e-10,5.375000012027188e-08
001,F,Imperial,500,0.0003900710839228,-8.632134422648493,-1.4993732184810145,0.9400695787088624,-4.499015674538462,-10.21106710487828,-3.556405268010708,-9.365851190097365,-2.340365955844208,-12.12395893271665,-2.586857528715679,-4.421933217263973,-5.2865404650779055,0.119060511832575,0.3863535855793576,186.14741754646863,-9.268574175142847e-14,-3.045586791490751e-09,-5.3055283304950556e-11,-3.344034909135357e-09,-1.6867119478509015e-09,1.73724539876757e-09,1.770126091729288e-09,4.847720668857551e-09,2.6168768162357493e-09,9.630746552655498e-10,3.752085368557417e-09,1.0142967971548673e-08,3.192725513263985e-09,-4.288629680845169e-11,6.944616854411443e-11,2.9219373278640906e-07
001,M,Imperial,50,0.0017658021426598,-7.903371431750001,6.295064674166023,4.775729851805016,1.3336094065830124,-11.050955440387083,-6.052967981679536,2.7903684716621644,-3.982145359647951,-10.054410416361002,-4.860556310820468,-0.7514662349005791,-4.502952566023175,0.1055167591148316,0.3954963683471756,176.08056869387764,-1.014600185691973e-12,-3.832149739303649e-09,3.709500953795466e-09,-1.3551823460596259e-09,4.927927061350544e-09,5.055662180138002e-09,-2.1495201598911233e-09,-1.4107486878412434e-10,-8.187140003853658e-10,4.919385777094646e-09,1.6298464504865902e-08,5.6074856018947245e-09,-4.4586372449703735e-09,2.3583019878321167e-12,2.46377692307591e-10,-2.5462427752637924e-07
001,M,Imperial,200,0.0007175316113684,-8.426286675449518,5.788177990679609,3.5429441162223307,1.852992314242717,-11.00775129871855,-7.066131712643683,0.9234256820970864,-3.770970326407764,-10.384125293951463,-5.8254344896660175,-1.995973265326216,-6.816242093222327,0.1110888713565057,0.3786375866564412,176.74782712041883,3.088164259519897e-13,3.560096603453239e-09,1.1207711436324967e-11,-2.0792270526356567e-09,-9.044154576005968e-09,-6.769082097852002e-09,2.8077294686229197e-09,-7.237101440617561e-09,4.139362319470077e-09,-1.2285507285458906e-08,-4.924347816417996e-09,-4.534299521359888e-09,-4.91787454238096e-10,-8.791389748157519e-11,3.3003864720165886e-10,-4.685357137887028e-07
001,M,Imperial,500,0.0004217860121711,-9.491017926413404,3.473047097784255,1.1575135206802727,1.6282903855306108,-14.868236580602522,-3.956978275685132,0.6015465841788155,-5.78375269107094,-8.75996432328571,-4.989164806422744,-2.1315905926627767,-7.606660876508257,0.1234448006005459,0.3461425597863939,172.0663145714286,-1.8066602215821722e-13,6.4582671870370225e-09,8.745885773799216e-09,-5.370667963840443e-09,7.1258470395729835e-09,-2.5602130031735094e-09,-2.0935140477697587e-09,-2.6495643627306813e-09,-1.2532429660498555e-09,1.1803484971773782e-09,-2.565343665794091e-09,-5.9012584544979806e-09,-3.280832541683974e-09,-8.573222980899798e-11,-8.169022316990195e-11,-6.293269228817823e-08
002,F,Imperial,50,0.0018609135860926,-8.445608123731786,-0.1363036334480081,6.459637090977062,-4.97534777856754,-6.55005592389407,-8.278700163432454,-3.173107904441203,-7.7979834584081615,-12.892128797628732,-3.773138020177836,1.7361445887463571,-1.7337567840738584,0.1048665475414013,0.3857800426239068,145.31467798418973,7.398063947984153e-13,4.656437575417816e-09,2.186156833704642e-09,-3.92071634289304e-09,-8.74152959494176e-10,-5.700871264060099e-09,4.661568234034931e-09,7.019361081681397e-09,9.472991283528146e-09,7.457889659980675e-09,-7.608906141757114e-10,6.749273959604587e-09,-9.878025155773297e-09,1.961514723223874e-11,-6.56631167999725e-11,1.1157894671627337e-07
002,F,Imperial,200,0.0007877542429143,-9.240086315063984,-2.0335977803740164,2.6280101057972427,-6.096257891669299,-9.519982458394685,-7.903674588316938,-6.030976156762793,-8.905250329783469,-12.24488270105317,-5.065836306660425,-0.5770659904604339,-3.9980352887883863,0.1256388411128299,0.3666502383762385,169.5706545679011,-6.861568691186167e-14,3.790980382988546e-09,-1.9780392055783006e-09,-6.999019591288194e-09,-3.090196052886054e-09,4.991176461335137e-09,-9.190196071077007e-09,4.770196075962731e-09,-1.8823529342366022e-09,-7.216666666426016e-09,1.3190196076924105e-08,-5.196078295880196e-10,-1.4037254945506734e-09,3.440774130859696e-12,2.3978801936015596e-11,9.86775942359198e-08
002,F,Imperial,500,0.0004319434153747,-9.23460636768781,-3.7902297903804874,-0.3718726557892681,-6.206223383347314,-11.012474788420493,-5.921869494842243,-6.067059528634147,-7.380990975570729,-13.69057948439022,-5.020036737658529,-1.8450288446048788,-2.2461717035287805,0.1189084803712468,0.4033504776390246,160.4814880620155,2.417998071082087e-13,2.3799805767241646e-09,-1.2929737590226654e-08,-5.100388728116184e-09,-6.273080657992437e-09,1.8442176913126685e-09,9.076773632462043e-10,-7.522837712504652e-09,1.1506316763764952e-09,-2.199222538638038e-09,6.938775507266611e-09,-1.5072886228550055e-09,-8.167152554354225e-09,4.964897336241921e-11,-1.0062196288129228e-10,2.194164308098033e-07
002,M,Imperial,50,0.0019460218762967,-8.199539152932045,3.312658217398059,10.732818810360198,0.5900332628640778,-3.2530047125436896,-2.041843531365729,-4.154468877281555,-4.170416547540771,-10.288490959563102,3.843118351941749,4.151107510621356,-5.543990386407772,0.1103347766105549,0.3112997448811963,91.19828833333334,9.933655214693005e-14,6.4100580215578995e-09,5.4574468151136285e-09,1.550290147787229e-09,-2.8647968936108604e-09,3.1361702317144703e-09,1.939555124599252e-08,-1.3735976780166636e-08,-3.901547399172205e-09,-2.4679883504357515e-09,-2.7909091066034403e-09,3.375241764067542e-09,4.463056106100643e-09,-1.1973257810118004e-11,1.289009886378069e-10,2.5000000010895934e-07
