Unique_Speaker,Sex,Location,Distance,pcm_RMSenergy_sma,pcm_fftMag_mfcc_sma[1],pcm_fftMag_mfcc_sma[2],pcm_fftMag_mfcc_sma[3],pcm_fftMag_mfcc_sma[4],pcm_fftMag_mfcc_sma[5],pcm_fftMag_mfcc_sma[6],pcm_fftMag_mfcc_sma[7],pcm_fftMag_mfcc_sma[8],pcm_fftMag_mfcc_sma[9],pcm_fftMag_mfcc_sma[10],pcm_fftMag_mfcc_sma[11],pcm_fftMag_mfcc_sma[12],pcm_zcr_sma,voiceProb_sma,F0_sma,pcm_RMSenergy_sma_de,pcm_fftMag_mfcc_sma_de[1],pcm_fftMag_mfcc_sma_de[2],pcm_fftMag_mfcc_sma_de[3],pcm_fftMag_mfcc_sma_de[4],pcm_fftMag_mfcc_sma_de[5],pcm_fftMag_mfcc_sma_de[6],pcm_fftMag_mfcc_sma_de[7],pcm_fftMag_mfcc_sma_de[8],pcm_fftMag_mfcc_sma_de[9],pcm_fftMag_mfcc_sma_de[10],pcm_fftMag_mfcc_sma_de[11],pcm_fftMag_mfcc_sma_de[12],pcm_zcr_sma_de,voiceProb_sma_de,F0_sma_de
1,F,Imperial,50,0.001965587,-9.251135451,3.870692872,4.230968145,-0.088303262,-3.810589082,-4.806135555,-3.255085022,-4.596070132,-9.823199775,-6.02657061,-3.541490258,-4.176480046,0.095994088,0.403346699,171.3628797,-3.51e-13,-7.81e-10,-3.8e-09,-2.36e-10,-6.11e-09,1.18e-08,-7e-09,3.03e-09,9.01e-09,3.46e-09,5.86e-09,4.09e-09,2.48e-09,-5.36e-11,9.33e-11,-5.09e-08
1,F,Imperial,200,0.000898508,-9.339856274,1.102698098,3.276495583,-2.977830787,-9.505446376,-3.380847323,-5.369820053,-3.280149276,-9.759959915,-5.207811505,-4.212604787,-6.023247517,0.114088946,0.377248155,176.4866966,-1.65e-12,-3.97e-09,4.15e-10,3.75e-10,-3.32e-09,8.4e-09,6.29e-09,-2.49e-09,-4.76e-09,8.71e-09,8.68e-10,-8.03e-09,3.15e-09,-8.43e-11,-1.97e-10,7.22e-08
1,F,Imperial,500,0.000414124,-8.873667739,-1.980146818,1.527325257,-3.115331921,-11.47466647,-2.490141371,-8.882935,-3.056146793,-9.436559937,-5.958553498,-4.148729449,-6.825058286,0.120338947,0.385493041,181.3551836,-7.78e-14,-4.2e-09,2.97e-09,-7.63e-10,-2.06e-09,7.94e-09,6.54e-09,9.9e-10,-1.26e-08,-2.03e-09,-2.14e-10,-3.93e-09,6.49e-09,-2.8e-12,3.36e-11,2.34e-07
2,M,Imperial,50,0.001705997,-8.817617391,5.924600566,5.234617359,2.044742259,-12.01352616,-5.729701211,2.246652125,-3.336981668,-6.48020214,-8.964179861,-0.397803413,-5.026472155,0.107649001,0.373196523,165.4918096,-1.87e-12,2.55e-09,-2.42e-09,6.31e-09,5.67e-09,5.06e-09,-4.8e-09,-4.26e-10,6.48e-09,-1.32e-08,3.99e-09,4.27e-09,-1.68e-09,5.28e-11,-4.5e-11,-3.13e-08
2,M,Imperial,200,0.000707129,-8.802846503,5.171514171,4.214373659,2.908663873,-12.51619596,-6.08146883,1.194529793,-4.067596317,-7.27751952,-9.397314229,-2.044576119,-6.686518162,0.111155978,0.371366999,169.4698393,-2.56e-13,-3.35e-09,-2.9e-09,3.17e-09,5.39e-09,5.13e-09,2.24e-09,6.59e-09,4.17e-09,-6.25e-09,1.6e-09,5.11e-10,-1.44e-09,1.21e-10,-2.49e-10,-2.98e-07
2,M,Imperial,500,0.000435685,-9.721451986,3.309208304,2.329974303,2.452572154,-16.25024141,-3.191722684,1.656642828,-6.188933696,-6.874995598,-8.459972494,-2.126056109,-8.315913202,0.123579013,0.34752076,175.5864899,7.14e-14,-5.07e-09,-3.86e-09,-8.64e-09,2.33e-09,-6.07e-09,-3.32e-10,7.55e-09,2.82e-09,-6.43e-09,5.22e-09,-1.44e-09,-6.06e-10,8.99e-11,-6.79e-11,1.51e-07
3,F,Imperial,50,0.001823419,-9.319170585,-0.434011908,6.492196614,-4.273161785,-7.829322587,-7.643248419,-4.131403465,-7.429461916,-8.994667725,-8.495457519,1.533426735,-2.50145691,0.106497955,0.362659011,138.2753682,-2.6e-12,-4.31e-09,-5.65e-09,5.6e-09,-7.16e-09,2.16e-09,2.87e-09,-8.62e-09,7.6e-09,1.01e-09,-5.32e-10,1.45e-08,-8.77e-09,3.25e-11,1.51e-10,4.68e-08
3,F,Imperial,200,0.000810703,-9.603880829,-2.455097122,3.220536686,-4.927587482,-11.18856272,-7.287119424,-5.74697324,-9.750043761,-9.207285669,-9.023984771,-0.695978191,-4.35041031,0.1254906,0.368801691,185.8279112,4.78e-13,1.69e-09,-2.04e-09,-3.66e-10,1.73e-09,4.53e-09,-1.63e-09,7.67e-09,8.07e-09,1.89e-09,-4.76e-09,-6.69e-09,-6.23e-10,-1.32e-11,1.57e-10,2.76e-07
3,F,Imperial,500,0.000463501,-9.462948236,-4.011481349,0.217522006,-5.200217401,-12.95172116,-5.213033639,-5.281571028,-8.320345155,-11.43380898,-8.444891578,-1.76883749,-3.576123613,0.119048379,0.409027792,184.3894966,-2.61e-13,-2.81e-09,3.34e-09,-5.52e-09,3.89e-09,-3.69e-09,3.42e-09,-2.54e-09,-9.45e-09,-5e-09,-3.94e-09,-1.28e-08,3.35e-09,1.19e-11,4.29e-11,1.1e-07
4,M,Imperial,50,0.001989703,-9.040161494,2.952445878,10.87746459,1.566542888,-4.227682289,-1.682101353,-5.105670205,-4.207930648,-6.248542288,-0.653104656,3.7726006,-6.221053,0.112798759,0.310385444,89.805444,-4.99e-12,-3.6e-09,2.66e-09,2.17e-09,1.19e-09,-1.5e-08,-2.7e-09,-2.04e-09,6.18e-09,4.48e-09,-7.56e-10,-7.84e-09,-7.5e-09,1.41e-11,-9.67e-11,5.56e-07
