Unique_Speaker,Sex,Location,Distance,Percieved_Distance,numerical_Percieved_Distance
1,F,Imperial,50,low,1.455199634257848
1,F,Imperial,200,high,2.61907802499238
1,F,Imperial,500,high,2.855
2,M,Imperial,50,low,1.754833892106065
2,M,Imperial,200,high,2.693750380981408
2,M,Imperial,500,high,3.245
3,F,Imperial,50,low,1.685
3,F,Imperial,200,high,2.8
3,F,Imperial,500,high,2.97
4,M,Imperial,50,low,1.145
4,M,Imperial,200,low,2.115
4,M,Imperial,500,high,3.690624809509296
5,F,Imperial,50,low,1.415
5,F,Imperial,200,high,2.593721426394392
5,F,Imperial,500,high,2.9335857970131056
6,M,Imperial,50,low,1.77
6,M,Imperial,200,high,2.6171380676622977
6,M,Imperial,500,high,3.375071624504724
7,F,Imperial,50,low,1.44
7,F,Imperial,200,low,1.85
7,F,Imperial,500,high,3.748722950320024
8,M,Imperial,50,low,1.945
8,M,Imperial,200,high,2.3606263334349284
8,M,Imperial,500,high,3.991161231331912
9,F,Imperial,50,low,1.645
9,F,Imperial,200,high,2.68
9,F,Imperial,500,high,4.526059128314538
10,M,Imperial,50,low,1.185
10,M,Imperial,200,high,2.51
10,M,Imperial,500,high,2.7219734836939957
11,F,Imperial,50,low,1.675
11,F,Imperial,200,low,1.9140505943309964
11,F,Imperial,500,high,2.96
12,M,Imperial,50,low,1.19
12,M,Imperial,200,high,2.6147074062785736
12,M,Imperial,500,high,2.64
13,F,Imperial,50,low,1.55
13,F,Imperial,200,high,2.3884852179213656
13,F,Imperial,500,high,3.203291679366046
14,M,Imperial,50,low,1.88
14,M,Imperial,200,high,2.322666869856751
14,M,Imperial,500,high,3.359177080158488
15,F,Imperial,50,low,1.405
15,F,Imperial,200,high,2.535
15,F,Imperial,500,high,2.805
16,M,Imperial,50,low,1.4321014934471197
16,M,Imperial,200,high,2.6836330387077103
16,M,Imperial,500,high,3.462602864980189
17,F,Imperial,50,low,1.575
17,F,Imperial,200,high,2.7750000000000004
17,F,Imperial,500,high,3.135499847607437
18,M,Imperial,50,low,2.0258533983541605
18,M,Imperial,200,high,2.96272935080768
