Speaker,Sex,Location,Distance,Percieved_Distance,numerical_Percieved_Distance
001,F,Imperial,50,low,1.455199634257848
001,F,Imperial,200,high,2.61907802499238
001,F,Imperial,500,high,2.855
001,M,Imperial,50,low,1.754833892106065
001,M,Imperial,200,high,2.693750380981408
001,M,Imperial,500,high,3.245
002,F,Imperial,50,low,1.685
002,F,Imperial,200,high,2.8
002,F,Imperial,500,high,2.97
002,M,Imperial,50,low,1.145
002,M,Imperial,200,low,2.115
002,M,Imperial,500,high,3.690624809509296
003,F,Imperial,50,low,1.415
003,F,Imperial,200,high,2.593721426394392
003,F,Imperial,500,high,2.9335857970131056
003,M,Imperial,50,low,1.77
003,M,Imperial,200,high,2.6171380676622977
003,M,Imperial,500,high,3.375071624504724
004,F,Imperial,50,low,1.44
004,F,Imperial,200,low,1.85
004,F,Imperial,500,high,3.748722950320024
004,M,Imperial,50,low,1.945
004,M,Imperial,200,high,2.3606263334349284
004,M,Imperial,500,high,3.991161231331912
005,F,Imperial,50,low,1.645
005,F,Imperial,200,high,2.68
005,F,Imperial,500,high,4.526059128314538
005,M,Imperial,50,low,1.185
005,M,Imperial,200,high,2.51
005,M,Imperial,500,high,2.7219734836939957
006,F,Imperial,50,low,1.675
006,F,Imperial,200,low,1.9140505943309964
006,F,Imperial,500,high,2.96
006,M,Imperial,50,low,1.19
006,M,Imperial,200,high,2.6147074062785736
006,M,Imperial,500,high,2.64
007,F,Imperial,50,low,1.55
007,F,Imperial,200,high,2.3884852179213656
007,F,Imperial,500,high,3.203291679366046
007,M,Imperial,50,low,1.88
007,M,Imperial,200,high,2.322666869856751
007,M,Imperial,500,high,3.359177080158488
008,F,Imperial,50,low,1.405
008,F,Imperial,200,high,2.535
008,F,Imperial,500,high,2.805
008,M,Imperial,50,low,1.4321014934471197
008,M,Imperial,200,high,2.6836330387077103
008,M,Imperial,500,high,3.462602864980189
009,F,Imperial,50,low,1.575
009,F,Imperial,200,high,2.7750000000000004
009,F,Imperial,500,high,3.135499847607437
009,M,Imperial,50,low,2.0258533983541605
009,M,Imperial,200,high,2.96272935080768
009,M,Imperial,500,high,3.418165193538555
010,F,Imperial,50,low,1.8294056690033529
010,F,Imperial,200,high,2.51
010,F,Imperial,500,high,3.15
010,M,Imperial,50,low,1.115
010,M,Imperial,200,high,2.3849436147516
010,M,Imperial,500,high,2.8
011,F,Imperial,50,low,2.13
011,F,Imperial,200,high,2.319908564462054
011,F,Imperial,500,high,2.804643401402012
011,M,Imperial,50,low,1.605
011,M,Imperial,200,high,2.265
011,M,Imperial,500,high,3.084932947272173
012,F,Imperial,50,low,1.4
012,F,Imperial,200,high,2.59
012,F,Imperial,500,high,3.14
012,M,Imperial,50,low,1.175854922279793
012,M,Imperial,200,high,2.942700396220664
012,M,Imperial,500,high,4.41823072234075
013,F,Imperial,50,low,1.865
013,F,Imperial,200,high,2.583951539164889
013,F,Imperial,500,high,3.1518729046022558
013,M,Imperial,50,low,1.98407802499238
013,M,Imperial,200,high,2.825
013,M,Imperial,500,high,3.035
014,F,Imperial,50,low,0.85
014,F,Imperial,200,high,2.2904602255409934
014,F,Imperial,500,high,2.5700000000000003
014,M,Imperial,50,low,2.080135629381286
014,M,Imperial,200,high,2.5527674489484915
014,M,Imperial,500,high,4.453320633953063
015,F,Imperial,50,low,1.245
015,F,Imperial,200,high,2.215
